Q9GZY0	P11182
Q9H0R8	Q96GN5
P50238	O75792
Q9NS25	Q8IZP7
Q9BQB6	Q13671
P01920	Q9BVA1
O75594	Q9UQC9
Q9H346	Q8WYA0
P51957	Q9UNF1
P80422	Q9UGM6
Q5T1S8	Q8N9S9
Q5VZY2	Q6DKI2
Q96S90	Q8WWZ3
Q7Z2R9	Q8TCG2
Q6NTE8	Q12980
P41970	Q6PB30
P52655	Q6UWJ8
P50238	Q16537
P07332	Q9NYM4
Q8N9X5	Q15389
Q9UNE7	P04440
Q2NL68	P51149
O14737	Q8N808
Q9Y673	Q9UBD3
P54821	Q9HBF5
Q6UXB1	Q9UBF1
Q96LT7	Q8TEU8
Q0VG99	Q9NY57
P81408	Q9H1U4
P19793	Q02833
Q9Y4R8	Q96P64
Q7L4P6	P14151
Q9Y5Y7	Q9BRU2
Q6V0I7	Q86YL5
Q8N0U6	Q9BZK7
Q8WZ64	P05451
Q15910	P82912
Q8WUX2	Q8IXR5
Q9UHC6	A1L1A6
Q9Y6B6	Q5T3Y7
O00186	Q9BV94
Q9UBN7	Q8NBP0
Q9BWX5	Q9BTV5
P21728	P30461
Q9HD26	Q9HBI5
O75030	Q96CX2
Q765I0	Q9H343
Q99217	P56524
P41227	Q6NUN7
Q9ULL8	Q9HCG7
P55268	Q16627
Q92750	Q7L5A8
Q9H2F3	Q8IWX7
Q68DX3	Q9BRR6
Q8TB36	Q86WW8
Q8IX12	Q8NGJ7
Q9H8X9	Q9GZV9
A8MV24	P57738
Q2I0M4	O00337
Q9NQU5	Q9NQ11
P35555	Q5VZL5
Q8IXF0	P54105
Q8N436	Q9UI54
Q06643	P35680
O75888	O75489
Q9HA77	O60669
P22415	A0A5B9
P50579	P12036
P53539	Q8IUG5
Q96AK3	Q9Y257
P23246	Q99442
Q8IZF4	P01713
P10645	Q8TDW0
Q9C0H9	Q8N0U2
Q8NHK3	Q9NVE7
O43149	P28356
Q08477	Q5VV17
Q969H0	Q9NSA2
Q9UK76	Q8IYB3
Q8IZV5	O14646
Q6EEV4	Q8TDQ1
Q9NYF0	P47804
O43353	Q99853
Q8N3F9	Q8WWY7
Q8N140	Q9Y5P2
Q9NQC8	Q9NTI7
Q8TCT0	P00325
Q9H320	Q7Z418
Q9NRA0	O60811
O95477	Q9GZT6
Q6IBS0	P60006
Q15031	Q96A58
Q9NZD4	B3SHH9
Q86VH2	Q66LE6
O15370	Q9BR09
Q8IZ81	Q14157
Q86Y38	Q6P499
P35250	Q8N2N9
Q8IWS0	P46109
Q9BZF9	Q86WK9
Q92784	Q8NCJ5
Q96A61	Q6ZN79
Q5VVQ6	Q96MN9
Q9BYH1	O60658
Q6PJW8	O60701
Q64LD2	Q9H161
Q5TD94	P52565
Q96EX2	Q8TEH3
Q96IR7	P54098
Q7Z7C8	P17010
P48201	Q9ULW3
Q9P032	P48380
A8MXZ3	A1L3X0
P21802	Q9Y5E1
Q9UN81	Q56A73
Q9NPB1	P17017
Q52M75	O95182
Q15759	Q8TBR7
Q6ZMJ2	Q9P273
A6NMD0	P48060
Q9UL54	P47900
Q8NH53	Q7Z2F6
O14828	Q13620
Q5J5C9	Q96DU7
P59540	O43704
Q9HCK8	P0DJR0
Q8N7R1	A8MYZ5
P30825	C9JPN9
Q9BYQ6	Q8IX05
O00194	A6NH00
Q8IV33	Q9NWV8
P0DJD3	A6NIU2
Q9Y5U4	Q9HAY2
Q9H3R0	Q969X6
Q8NEF3	Q9HB09
Q9UF72	Q92567
Q5MNZ9	Q04941
Q9UM44	P35318
Q70SY1	Q15848
P32121	Q9UNK4
Q8NBD8	Q6PKG0
Q96AD5	Q8NEY3
Q99081	P49585
A6NHQ4	Q02487
P18669	Q8N2R0
Q8N8N0	P35609
Q6PJ69	Q6UW56
P01720	Q96PP9
Q9BPX5	C9JLW8
Q96IR7	P62942
Q6ZQW0	O15527
Q58FF7	A1L429
Q96DU7	Q16512
Q8NH18	A6NKD9
Q9NWQ9	Q969Y2
Q6UW10	Q8IWZ8
Q9HCE6	Q96F25
Q9BRX9	O60609
P49441	O95989
P23528	Q9ULZ9
Q86T23	Q9NP08
Q07812	O75204
P63128	P19099
Q9NVX7	Q96F83
P35590	Q59GN2
Q9BZG1	A1A4G5
Q8NGJ5	O00478
P28289	Q9H8X2
Q92753	Q14990
Q96MG7	Q86XN6
Q9BSK4	Q9Y3I1
O94876	Q9P2J5
Q15276	Q9BZQ2
Q9BZA8	Q8NGZ6
P60893	Q9GZT6
A4D161	Q96K21
P82912	Q9UGC7
Q9Y320	Q8TAX9
Q5D0E6	Q86VE3
Q9H320	P00451
Q969Z0	Q70J99
P10072	Q9P0J0
Q92604	Q96LA9
Q9NRZ7	Q9UQ80
P25103	Q9NX61
Q7Z3D4	Q9UHA2
B7ZC32	Q92887
Q8NH70	Q9P2W9
Q9P2H0	Q6PEX3
Q8TBA6	Q99616
Q96FL8	Q9BX26
A4D2B8	Q9BYR8
Q9P242	Q8N2E2
Q9H6R3	Q8TCY9
Q8N4B4	Q8TF71
Q9NVR2	Q16690
P43146	Q9UPW6
P0C7X4	Q09FC8
Q8IYJ3	Q9NP84
Q9H1Z4	O75382
Q9Y6D0	Q5H8A3
O60259	O43819
Q5VVM6	Q10472
Q8N888	Q13509
Q13362	Q15319
Q9C0K1	Q8N2G6
Q9BYD6	P0C0P6
Q9Y478	A6NEW6
Q7Z2E3	Q7Z4W3
Q8NGQ2	Q5FYB1
Q8IUE6	Q8IXN7
Q92504	Q86XP1
Q9BVQ7	Q9NUA8
Q96DR4	Q92824
P22612	Q9BZS9
Q9NQW1	P35613
Q9BPZ7	O75829
Q4VC12	Q5W5W9
Q8TAU3	P35790
Q9Y619	Q3BBV0
Q6ZUT9	Q8N490
Q9NVP1	Q92834
Q8WU58	P54284
Q6XZF7	Q9BXW6
Q15276	Q9HCI6
Q96I45	Q9H8W4
Q9BTD8	Q15125
Q8N239	Q9NZQ3
Q3ZAQ7	P0CG08
P15144	Q9UKF5
Q13607	Q02388
Q9Y271	Q86UG4
Q5T2N8	Q86WK6
Q9BQ70	P30464
P21127	Q9Y5Y6
Q7Z4H4	P49590
Q9UPP1	Q16763
Q96GW9	Q6ZSG1
Q9NX46	Q03188
A1L443	O94778
Q6ZN16	Q96GV9
P10074	Q9HBH7
Q9BWH6	P57789
Q8N5I2	Q9Y2Y1
P07477	Q9UQ10
Q53LP3	Q86U90
O60706	Q5UIP0
Q9NUQ6	Q03169
P27694	P01135
Q9H374	Q9BSY9
Q8N6L0	Q96D46
P55273	Q70EL1
Q8NHM4	Q7Z2H8
Q9NX08	Q13938
Q12982	Q9NS73
Q9NT62	Q86XT4
Q96PS8	Q96HY6
Q9UEU5	Q96IX5
Q5VZV4	Q96QK1
Q8N3Y7	P07333
Q8WZ59	Q9HA82
Q6NYC1	Q02535
Q9NP85	Q9NZI2
Q86VX2	P46736
P13726	A6NIJ9
O95365	Q9HAD4
Q15661	O60336
P06276	Q9H0I2
Q9HCD6	Q96HI0
O94898	Q6P995
Q8NGH8	Q9ULL1
Q4G0M1	Q8N142
P50440	P35408
Q9NQA3	Q8IY85
P23771	Q9BXD5
Q70EL1	P29460
Q9BVJ7	Q6UY14
P03372	P55010
Q69YQ0	Q8NBV8
Q6ZN84	Q9UH64
Q9GZU5	P14867
Q96PM9	Q6NTF9
Q9HAS0	P61457
P53634	P56202
Q9NPI5	P42575
Q09028	P62502
Q9Y3U8	Q9NZ71
Q8TDQ1	Q9UGP4
O95073	O95238
O95922	Q9Y5F8
O60518	Q2VPA4
A8MUP6	Q9UQ72
Q8IV35	Q9P1F3
P53680	O15496
O95881	P42766
Q86Y97	Q9P260
A6NLX4	P55060
Q2M3G0	O15266
Q9BYX7	Q9H4G8
P22891	P01236
Q96EY1	O95352
Q6PI48	Q8NFZ8
Q8TAF5	Q96BW1
O43805	Q6T311
Q07326	Q9H8X3
P10826	Q00597
O14669	Q5TKA1
O14843	Q1L5Z9
O00566	Q13275
Q6Q8B3	Q99795
Q6ZRI8	P00374
O43766	Q5FWF4
Q9Y5J3	P23975
Q02577	P17032
Q969W8	P20231
O15455	Q9BSQ5
A4D263	Q6RUI8
P0C5Z0	Q7Z745
O60412	Q9NPZ5
A6NLW8	Q9NRJ1
P08246	P08172
B7ZAQ6	P09341
Q9UHN6	Q15434
Q8ND61	P04070
Q15365	Q9Y5K8
Q14236	A6NGQ2
Q3B7S5	Q6UXI7
Q5GH72	Q9HD87
Q9UN86	P14649
Q5H9J7	P63146
Q92576	Q9NVP2
Q3LIE5	Q12766
Q14738	Q8TDM6
O43820	Q9NQ55
Q96C90	O43164
Q9UKR0	Q15561
P41567	Q9H694
P52948	Q56P42
Q96MX6	P35612
Q9GZX7	Q9H3P2
Q86U17	P05771
Q6UB28	Q7Z7B8
O15287	P35544
Q15198	Q6UWV2
Q5SZL2	O95045
Q9UHI5	Q9NY46
Q9Y2B0	P37108
Q13634	Q9BZE2
P07550	Q9BXJ8
O94763	P24386
Q9UHB4	Q8N726
P30559	Q9UBR5
Q9H8W3	Q99880
Q99677	Q8TER5
Q8TE56	Q7Z6G3
Q8IVU9	Q6UW68
Q8NBJ5	Q6NXT4
Q9BX95	P06727
Q96L46	O94759
A6NJY4	A6NHN6
P50553	P30301
Q9BT22	O95785
P01876	P51684
Q5T7M4	P26440
Q969L4	Q9NPA1
Q9C056	Q9NZW5
Q9HCQ5	O75364
Q5T1J6	Q7L8S5
O00602	P78545
Q96SB8	O75937
Q9H488	Q8WXS3
Q9H081	P63165
Q5T9L3	P61981
Q9Y4E8	O96033
Q96NC0	Q8NEP4
Q96NB2	Q5VT52
P42336	Q6ZMH5
Q9BYP9	Q8TBJ5
O43504	Q9ULY5
Q14498	Q8NF67
A6NIE9	Q6ICG6
Q7L5L3	Q8TAB7
Q7L1Q6	A6NN14
O95025	Q9UGM3
P0C875	A6NMY6
Q99944	Q8NGJ5
Q69YH5	Q4VC39
P16050	P49902
Q8IY18	P25391
P68371	Q9Y4I5
Q6ZW33	Q6ZVX9
P09455	Q9ULX6
Q9UM11	P43487
P01732	P46379
Q9Y3B1	O43741
P30475	Q01524
Q8WUA8	Q8NI22
Q9BWN1	P35243
P40222	Q6P0N0
Q6IE36	Q7Z4G1
Q9Y6I3	Q6VN20
Q5VU69	P12532
Q9BY71	P49802
Q16842	Q68DL7
Q86V42	Q8NAP3
Q8N3I7	Q8IU60
O75467	Q24JP5
P38567	Q96T23
O95721	Q9BYL1
P49760	O75586
P40937	Q3MIT2
P16930	Q9UKX5
Q8NDM7	O94993
Q6UXR8	P49821
Q9Y2D9	Q9ULZ3
P35250	Q9H8W2
Q8NGU9	O95562
P01622	P61580
O14817	Q29836
Q6ZR54	Q6PP77
Q75QN2	Q8N326
P28335	Q8IUH5
P27544	Q86UF1
Q9UKI3	Q9NSA1
Q86WA8	Q9BZE0
Q8TDI8	Q8N4Q0
P52657	Q8IYP2
Q8NAT1	Q8WVK2
Q9NQZ7	Q9Y6B2
Q8NCR9	P16109
Q9H756	A6NI03
P10632	Q330K2
A0A087X179	Q6UXH0
P0C870	Q12962
Q52M58	Q14159
Q8NGL7	Q8NGN8
Q8WWF6	P55774
Q14651	Q96E40
P57059	Q86UG4
P18509	O76075
A8MXJ8	Q2TAA8
Q5VSG8	P37059
Q13061	Q92985
P05114	O75438
Q86Y38	Q4G0X4
Q2M3D2	Q6XXX2
Q8IWT3	A8MUX0
Q6ZWK6	Q8WUT4
P32249	Q9NUY8
Q9NR82	Q9NRG7
Q8IZU0	Q96B45
P30048	Q96M93
Q14264	Q8N4S7
Q6XR72	O60292
O75820	Q2V2M9
Q13642	Q9UKY0
Q9UKV8	Q9H4B8
Q75WM6	P0C263
I3L273	Q96KP1
Q9HBG7	Q969S2
Q92797	P68400
Q7Z6K4	O95992
Q8NH19	Q9BQD1
Q9ULL4	P05455
Q96CS4	Q8WVF1
Q5JVS0	Q96ND8
Q0VDD5	P05423
P27216	Q9BRK0
Q14498	P0DM48
O95631	Q8N2K0
P98169	Q9NSB2
Q96PS8	Q9NZP6
O14944	O15245
Q8IUC8	Q9Y2A7
Q13519	Q76KP1
Q5T5A8	Q9ULP9
O95399	P30050
Q3MIW9	P82094
O94966	Q8NCN2
Q9Y366	E5RJM6
Q99704	Q9HCP0
Q96PD2	Q92502
Q16795	Q96DZ7
C9JXX5	O75319
P30475	P21980
P07315	Q99856
P08913	Q9NUN7
P20719	Q99551
Q9H310	Q6VMQ6
Q96DN0	Q6P1K8
Q6P1W5	Q9UEY8
Q8N6D5	Q9UJ78
Q9BXW7	Q92478
Q6P587	Q8NGL3
Q8NH89	P15153
P56696	O95486
Q8N7U7	Q6P1J6
Q9Y6X3	A6NFX1
B2RXH8	P10606
A2RU37	Q92574
Q6GV28	P32242
B2CW77	Q86X53
Q9Y5I4	Q16656
Q96S42	Q8IVL5
Q9NS18	P20848
Q9Y251	O43823
Q9UHA2	Q9Y5Q8
P55285	Q6ZP80
Q9UNW8	P08123
Q8NGH5	Q92911
Q9C073	Q5T601
Q9NUQ9	P63104
Q93091	O75159
C9JLR9	Q86VK4
Q8IV20	Q5SRE5
Q8N9W4	Q9H5N1
Q53GS7	Q9NQT4
P55316	A1A4S6
Q86TA4	Q8IZJ1
Q9BXU2	O94812
Q99453	A6NNE9
P04637	Q8NEA9
P50552	O00187
Q9UHD9	Q9BZM6
A8MTJ6	P21796
Q5VTR2	Q9C035
A6NCW7	Q8WZ55
Q8NF86	O14929
Q8WYH8	Q4G0T1
Q92800	P43356
Q9H9J4	Q6PIL6
P11229	Q13166
Q93088	Q8NAU1
Q6ZVW7	Q96AD5
Q9BT81	P11166
Q8NGY7	Q7L2J0
Q9BPU6	Q96C00
Q86TS7	Q96QF7
Q01850	P20807
P55055	P0C6S8
P05534	Q86SR1
P0DMQ9	Q8IYF1
O43927	P31277
P29400	Q6ZST4
P16144	A5PLN7
Q8IXU6	Q5QGZ9
P54259	O60493
Q14236	Q6QNY0
Q96IK1	Q14390
Q9BYD5	A6NP61
P0CG35	Q9H6Y5
O00232	Q96ES7
O43613	Q8N146
P60709	Q6ICG8
A3KMH1	Q9ULW3
Q93034	O14602
Q504U0	Q96BR6
Q99966	Q9H7R0
Q9UMS4	Q8TAV5
P47884	P16471
Q9NUL3	P53602
O95922	O95372
P61925	O95125
P04732	P82094
O00139	Q6NUJ2
Q07699	Q6BAA4
P12872	Q5GAN3
O15123	Q96DT7
Q9Y3M2	Q5QP74
Q96EH5	Q9BZ71
O43189	Q13325
Q496A3	Q7Z5L9
P35579	Q8WZ94
Q658K8	P15248
Q8IVS2	Q9H1X1
O60902	Q9Y266
Q8NGK2	Q8N1N5
O76050	Q33E94
Q9P2E3	P15086
Q96LW7	P38570
P11049	P29320
P11597	Q5JQD4
Q7Z3B3	P47914
P20585	A6NCS4
Q8NA31	O75964
Q86UR5	Q86XD5
Q6ZRR5	Q8IUF1
Q8NH95	Q9NU39
P04433	Q9H8G2
Q4G0N0	O15218
Q96EN8	O75390
P56134	Q9Y6X3
Q9C0I3	P60508
Q9BRT3	Q9Y2B0
Q9GZZ0	P0CW20
P25021	P20933
Q9ULI2	Q8NF86
Q05DH4	Q5SR56
P78545	Q6ZNG2
Q8NGI8	P04438
Q8WTT0	Q7Z7A4
Q5TID7	Q9Y5H7
Q9H1U4	O60303
P41732	Q13634
Q96BN8	Q9HCH3
Q9UKA4	Q5T013
Q8IWD4	Q99715
P0DMM9	Q9BX63
Q9UL36	A2RUR9
Q8WUR7	Q9H160
Q6DN03	Q96TA2
Q9HCS5	Q147U7
O95977	Q86UP0
Q04828	P0C5Z0
Q8N326	Q9C010
Q8N687	Q9UBD0
Q9NYP8	Q7Z7D3
Q8TC71	O43567
Q9BWM7	P0C0L4
Q9NWT1	P32519
Q9UK17	O60241
O14836	Q96NZ8
P37059	Q9BUG6
O75493	Q9BYD2
Q15436	M0QZC1
Q96MV8	P20309
Q96IU4	Q12774
Q96ED9	P49840
Q01844	Q16621
Q8N9I0	P80421
Q9BZV3	Q9C0B1
Q5BKZ1	O43889
Q719I0	P08397
B4DZS4	O95470
P32321	Q5BKZ1
Q8TER0	Q9BUV0
P33991	Q8WYL5
Q96HW7	Q5VU69
Q8TBP0	P22087
Q7RTU9	Q10571
Q9UKN7	Q13956
P57060	O94921
Q9NV56	Q9H8X9
Q15046	P36405
Q9UPQ3	Q14831
P04808	Q96RT1
Q9UHN1	P07476
Q92819	P08151
Q13423	Q5VU36
Q86XZ4	Q9NQS3
P86790	Q96H22
Q96EH3	Q9BZH6
Q9Y548	Q7Z614
Q9HD89	Q8NG77
P57739	Q00577
P07711	P35711
P23458	Q9NRP2
O00570	Q13461
Q13546	P00367
Q9NQ90	Q14916
Q53EU6	P78509
Q9Y324	Q9UM44
Q86V86	P36873
Q86Y28	Q15386
Q00577	Q93050
Q8NGK2	Q8N1S5
O60826	O00567
Q05469	P02748
Q9H4I9	Q8NGL2
P55287	Q4V9L6
Q9BY14	P98174
A6NNT2	O14948
Q5SYC1	Q9NQZ3
Q9UIV8	Q93091
P68032	Q92974
P29371	P98171
Q2M1P5	P21506
Q9GZS1	O60684
Q8N4V1	Q9BZA8
Q9H307	Q6P4F1
O75956	Q9BR61
Q00888	Q8N6Q8
P03928	P98170
Q1EHB4	Q96LT6
Q96NU1	O00148
Q9UKJ3	Q86SQ0
Q9Y458	Q8N0S6
Q86W25	Q9BU02
P08294	P40424
Q93038	Q5TC04
Q9NPL8	Q9BVW5
Q8N4E4	Q86WV6
Q9NUN5	P06276
Q68EA5	P49006
Q53QW1	Q96C01
Q9UL58	Q96BW9
O43657	Q8NGC8
Q68DK2	Q3I5F7
P55001	Q9BQI5
Q86YM7	Q9UKV8
P0CAP1	P27105
O14668	O75436
Q9NQT4	Q9BVG9
P0C838	O60756
Q0VFX4	P43088
Q96DG6	Q16836
P24158	Q9HA72
P43629	Q7Z4N2
Q8N5B7	Q9H5U6
Q8IXS8	P33993
Q8TEB9	Q99542
Q9H6A9	Q9BSJ2
Q8WUT4	P04424
O96019	Q9Y297
Q99572	P17927
O75747	P01871
Q9Y575	O43257
Q8IYE1	P0CJ78
Q14185	Q14626
P60484	Q9H4I2
P24928	Q5T4T1
Q86Y28	P52298
O15350	Q96L46
Q9UNW1	Q9H190
Q32P51	Q6UWI4
O60331	Q92917
P12109	P31271
Q9H8X9	O75436
Q5TA79	Q9P2B4
P82279	Q9BZW4
Q9H4R4	Q9BVV7
P0CL81	Q6P3S6
Q6ZTK2	Q719H9
Q8ND94	Q9UQ80
O76013	Q8N4H5
Q5T0N5	Q9Y2V3
F8WBI6	Q96KK3
P50616	P08476
Q9BYF1	P24588
Q8WUY1	Q9H8P0
P09917	Q01534
Q9HCE7	P62328
O00189	O75600
Q6XD76	Q9NQZ6
Q53GS7	P52272
Q9Y6Y8	Q8WVZ1
Q9Y5M6	Q969W0
Q9H7P9	A6NGK3
O60880	Q6U7Q0
Q3LXA3	P62244
Q9UN66	Q12986
O94805	P78549
Q5SW24	P01574
Q9P1J3	Q96DT7
O75121	Q5T1A1
O14735	O43749
Q9Y3D2	P36896
Q8NGK4	Q9NTJ3
Q13614	P05014
Q969V6	Q16557
Q9UKT6	Q96KG7
Q13202	Q8N9F7
O95497	Q9H116
Q99645	Q9BQT9
Q8N7F7	Q14602
Q9UKV5	P0C841
Q03181	P08319
O43927	P01611
Q6Q795	O60423
P69208	H3BQW9
Q14320	Q9UHL4
P98170	P48145
Q7Z2E3	A6NDY2
B3SHH9	Q9Y3A3
A6NEQ2	Q9NVM1
P0CF74	P35346
O76076	Q9Y2E5
A6NEA5	Q9NQ69
P59922	Q9NZM1
P30203	A6NKF9
P49840	O95897
Q6ICL7	Q99963
Q9NZB8	Q14517
Q08378	Q7RTX7
Q96FT7	Q99615
P41217	O75071
Q96EB6	Q9NQX7
Q13285	Q63HK5
P27348	Q969W1
Q9H0E9	Q309B1
Q8IUC4	Q9ULX3
P12814	P78352
Q53QV2	Q9H7M6
Q6UWL6	Q9NX57
P30493	Q9H2S1
O15014	Q9Y3D9
Q99496	Q9UNY5
Q9UDX5	Q7RTW8
Q8NH09	Q96RU7
P07949	Q9UK05
P86452	Q9NVA1
P01761	Q5TGP6
Q5JW98	Q9UQ13
O60296	P52798
O60741	Q15788
Q9NX77	Q5MCW4
P02689	O43150
P07947	P47895
Q6UXT9	Q9NRN5
Q9H3R5	P51800
Q75VX8	O94905
Q9NZP8	Q6P461
Q16718	O95255
Q8WYR1	Q99611
M0R1G4	A1XBS5
Q9UER7	A8MXQ7
P02760	Q8N8Q8
P17947	Q9NRP0
Q8TCV5	Q9H295
P17568	P01762
Q96E29	Q8IY57
Q8NA29	Q5T3U5
P31513	P61421
P05015	O15041
Q9BYB0	O60806
Q9Y371	A8MVS5
Q9BQ65	Q8WUU4
P05538	P61244
O14599	P01760
Q9P2E9	Q63HR2
A6NK97	Q9P0M6
Q9P219	Q3SXM0
Q01658	B9A6J9
Q14990	Q6UX27
P78383	Q71UM5
Q5FWF5	O14949
Q9NXS2	Q63HM9
O95674	O43237
Q96MC2	Q8NE22
P31321	Q969X1
Q5T686	Q9GZZ6
P0C7T2	P55789
Q7Z5L3	Q03828
Q9UIF3	O95376
Q01151	Q9UL19
P53701	H3BSY2
Q9NX05	Q9BV23
Q8TAA1	Q96HP8
O15535	O95150
Q9NW15	Q96HJ9
P53365	P09455
Q8TBE0	Q99719
O60513	Q5T0N1
A6NGW2	P35346
B4DXR9	A6NIJ9
Q9BWG6	Q9UK39
Q13950	Q6P1M3
Q8IZY2	A4QMS7
P23467	P0DKL9
Q8N371	O43561
Q9GZN1	Q16851
Q9BQG1	P45844
C9JC47	P17302
Q8NGD0	Q6UWV6
Q5TA79	P46013
P62263	Q12982
Q9Y6J3	Q96GC5
Q9BUY7	Q9BQM9
Q8WXD9	P01909
P08754	O75426
P46095	Q4KMP7
A6NCW3	Q2TB18
Q16790	Q9NT62
P27216	Q7Z6L0
Q92766	Q8N8F7
Q6ZMR5	A6NFY7
A6NML5	Q9HCS7
A8MQ03	Q9H1R2
Q92576	P49842
Q8IWV8	Q8NH69
O95971	P49798
Q6NTF9	P41146
P13224	A8MW99
P07948	O14492
P0C6C1	Q8NAX2
Q12899	Q53HI1
O15209	Q7Z2T5
Q6ZN32	Q155Q3
O60583	P23229
P20674	Q4ADV7
Q16829	Q9Y262
Q6YI46	A2RU67
Q76FK4	Q9H201
Q9H741	Q6ZSM3
Q96A59	Q06430
P35225	Q9Y4Z2
Q7L804	O00445
Q96AC6	Q8NBV8
Q8NF86	Q99685
Q96QE3	P31371
Q9BUJ2	Q14847
Q0D2H9	Q8TA94
Q8NB59	P01777
P51659	Q9BQI4
O60245	O15409
Q9BRQ4	Q96CH1
Q13043	A4D2G3
P14652	Q9BYW2
Q9H900	Q8N5H3
P0CG01	P0CG31
P80404	Q9H6X5
Q9NZM4	P40259
P17019	Q8N2C3
Q7Z6M1	P00973
